uniqueid,org,manager,email,lastname,firstname,telephone,location   
sc84874,Customer Relations,gm84036,Sinead.Cummins@openptk.com,Cummins,Sinead,303-559-4893,loc35
cc60203,IT Compliance,rh6300,Colm.Cunningham@openptk.com,Cunningham,Colm,303-365-4309,loc36
lc82740,Information Systems,rb5068,Lynn.Cunningham@openptk.com,Cunningham,Lynn,303-234-2453,loc37
cc2752,IT Compliance,rh6300,Catherine.Cutchey@openptk.com,Cutchey,Catherine,303-737-9234,loc38
rd63723,Investment Banking,sh9168,Rakesh.D'Souza@openptk.com,D'Souza,Rakesh,303-689-2027,loc39
jd37300,Customer Service,dl9637,Julia.Dallaghan@openptk.com,Dallaghan,Julia,303-313-4944,loc30
jd64567,Services,lh9189,Jonathan.Dalton@openptk.com,Dalton,Jonathan,303-822-7712,loc31
nd14162,IT Compliance,rh6300,Niall.Daly@openptk.com,Daly,Niall,303-820-8496,loc32
td6386,Credit,fm50746,Tomasz.Damzyn@openptk.com,Damzyn,Tomasz,303-157-9077,loc33
ad9156,Marketing,jm7605,Antonio.De.Miguel@openptk.com,De Miguel,Antonio,303-886-7389,loc35
md12951,Mortgage,jb5392,Mary.Delahunty@openptk.com,Delahunty,Mary,303-212-4534,loc36
bd15601,Customer Relations,gm84036,Brian.DeLappe@openptk.com,DeLappe,Brian,303-530-1216,loc37
jd1266,Credit,fm50746,Julie.Delchambre@openptk.com,Delchambre,Julie,303-158-2140,loc38
pd17844,Sales,aw89027,Paula.Denvir@openptk.com,Denvir,Paula,303-716-3736,loc39
md6528,IT Compliance,rh6300,Michelle.Derwin@openptk.com,Derwin,Michelle,303-648-6096,loc31
nd14159,Services,cg14655,Nashila.Desmond@openptk.com,Desmond,Nashila,303-560-4278,loc32
ad86066,Customer Relations,gm84036,Aidan.Dillon@openptk.com,Dillon,Aidan,303-682-6494,loc33
rd87373,Marketing,jm7605,Roisin.Dixon@openptk.com,Dixon,Roisin,303-146-9575,loc37
gd8439,Marketing,jm7605,Garett.Dodrill@openptk.com,Dodrill,Garett,303-404-4170,loc30
ad23073,Investment Banking,sh9168,Alan.Doherty@openptk.com,Doherty,Alan,303-883-9975,loc36
sd83073,Benefits,dm11050,Sally.Anne.Dolan@openptk.com,Dolan,Sally Anne,303-557-8446,loc37
sd58742,Customer Relations,lj39201,Sharon.Dolan@openptk.com,Dolan,Sharon,303-190-2778,loc38
jd15764,Corporate Workplace,kc13254,John.Donnellan@openptk.com,Donnellan,John,303-671-2464,loc31
md38042,Corporate Workplace,gm51383,Michelle.Donnelly@openptk.com,Donnelly,Michelle,303-644-0740,loc30
td13259,Services,cg14655,Tara.Donnelly@openptk.com,Donnelly,Tara,303-681-8993,loc31
sd15640,Corporate Workplace,nc6214,Suzanne.Dooner@openptk.com,Dooner,Suzanne,303-364-8387,loc32
ad12715,Investment Banking,sh9168,Aileen.Doyle@openptk.com,Doyle,Aileen,303-863-8451,loc33
dd50176,Customer Relations,gm84036,David.Doyle@openptk.com,Doyle,David,303-696-2882,loc34
nd80029,Information Systems,rb5068,Natalie.Driver@openptk.com,Driver,Natalie,303-558-7754,loc33
ad6391,Credit,fm50746,Anna.Duchnowska@openptk.com,Duchnowska,Anna,303-398-1717,loc36
sd2936,Investment Banking,sh9168,Sharon.Duffy@openptk.com,Duffy,Sharon,303-856-9568,loc37
ld87308,IT Compliance,rh6300,Liza.Dunne@openptk.com,Dunne,Liza,303-449-0866,loc31
nd91582,Customer Relations,gm84036,Niamh.Dunne@openptk.com,Dunne,Niamh,303-391-5481,loc32
wd63724,Services,lh9189,William.Dwight@openptk.com,Dwight,William,303-537-2204,loc31
td8756,Legal,je61475,Tim.Dyball@openptk.com,Dyball,Tim,303-693-8627,loc30
kd12154,Credit,fm50746,Katarzyna.Dyzewska@openptk.com,Dyzewska,Katarzyna,303-662-4999,loc39
je61475,Legal,aa4427,Jamie.Easton@openptk.com,Easton,Jamie,303-183-4938,loc38
me81307,Customer Service,dl9637,Mark.Edge@openptk.com,Edge,Mark,303-273-2693,loc34
re68533,Investment Banking,sh9168,Roland.Emmans@openptk.com,Emmans,Roland,303-252-6660,loc33
te84587,Customer Relations,lj39201,Timothy.Emmott@openptk.com,Emmott,Timothy,303-361-2187,loc36
df14463,Services,lh9189,Daniel.Farley@openptk.com,Farley,Daniel,303-351-2503,loc37
pf50861,Legal,je61475,Peter.Farmer@openptk.com,Farmer,Peter,303-746-6381,loc38
af28953,Customer Service,dl9637,Agnes.Farrell@openptk.com,Farrell,Agnes,303-925-0383,loc39
cf80344,Marketing,jm7605,Cathie.Farrell@openptk.com,Farrell,Cathie,303-497-1862,loc30
jf81980,Sales,aw89027,Joseph.Farrell@openptk.com,Farrell,Joseph,303-251-2010,loc31
kf30751,Investment Banking,sh9168,Kathryn.Farrell@openptk.com,Farrell,Kathryn,303-783-6928,loc32
af14389,Benefits,dm11050,Aislinn.Farrelly@openptk.com,Farrelly,Aislinn,303-280-6659,loc33
ef65674,IT Compliance,rh6300,Eveline.Favre@openptk.com,Favre,Eveline,303-479-3825,loc34
mf6248,IT Compliance,rh6300,Michelle.Fay@openptk.com,Fay,Michelle,303-986-0710,loc35
df15481,Investment Banking,sh9168,Diana.Fedorovica@openptk.com,Fedorovica,Diana,303-679-1864,loc36
pf17664,Mortgage,jb5392,Pauline.Feighery@openptk.com,Feighery,Pauline,303-909-6021,loc37
jf86035,Investment Banking,sh9168,Julie.Anne.Fennell@openptk.com,Fennell,Julie Anne,303-763-7593,loc38
sf20697,Sales,aw89027,Sandra.Fenner@openptk.com,Fenner,Sandra,303-668-2609,loc39
jf10491,Credit,fm50746,Joanna.Fiszer@openptk.com,Fiszer,Joanna,303-783-7289,loc30
cf17317,Marketing,jm7605,Clare.Fitzgerald@openptk.com,Fitzgerald,Clare,303-243-2385,loc30
af86856,Customer Relations,gm84036,Audrey.Fitzsimons@openptk.com,Fitzsimons,Audrey,303-936-0717,loc32
gf20848,Information Systems,rb5068,Gerard.Flaherty@openptk.com,Flaherty,Gerard,303-757-4425,loc33
cf83098,Investment Banking,sh9168,Claire.Flavin@openptk.com,Flavin,Claire,303-144-0930,loc34
sf17669,Benefits,dm11050,Seamus.Fleming@openptk.com,Fleming,Seamus,303-172-7427,loc35
sf13896,Investment Banking,sh9168,Shay.Fleming@openptk.com,Fleming,Shay,303-875-7622,loc36
ff61781,Sales,aw89027,Fiona.Flood@openptk.com,Flood,Fiona,303-360-5076,loc37
vf6266,Marketing,jm7605,Vincent.Flood@openptk.com,Flood,Vincent,303-100-9788,loc38
af67981,Services,lh9189,Aidan.Flynn@openptk.com,Flynn,Aidan,303-518-3856,loc39
jf50422,Information Systems,rb5068,John.Flynn@openptk.com,Flynn,John,303-355-7776,loc30
sf2902,Sales,aw89027,Sinead.Fogarty@openptk.com,Fogarty,Sinead,303-733-4270,loc31
cf10349,Services,lh9189,Colm.Foley@openptk.com,Foley,Colm,303-386-6056,loc32
bf9744,IT Compliance,rh6300,Brian.Foran@openptk.com,Foran,Brian,303-944-6088,loc33
mf11994,Services,lh9189,Maree.Forbes@openptk.com,Forbes,Maree,303-126-3462,loc34
vf87296,Corporate Workplace,gm51383,Vincent.Foster@openptk.com,Foster,Vincent,303-745-3767,loc35
sf4346,Credit,fm50746,Sebastien.Francois@openptk.com,Francois,Sebastien,303-481-2792,loc36
af10320,Customer Service,dl9637,Alice.Friedrich@openptk.com,Friedrich,Alice,303-912-4549,loc37
tf5767,Information Systems,rb5068,Toby.Furnivall@openptk.com,Furnivall,Toby,303-196-3504,loc38
mf247,Procurement,lm31932,Marie-Solange.Fusil@openptk.com,Fusil,Marie-Solange,303-260-4315,loc39
rg87530,Marketing,jm7605,Rosemary.Gaine@openptk.com,Gaine,Rosemary,303-429-3028,loc32
ag8633,Services,lh9189,Amy.Galesa@openptk.com,Galesa,Amy,303-575-8549,loc39
cg59849,Marketing,jm7605,Cillian.Gallagher@openptk.com,Gallagher,Cillian,303-910-1433,loc32
ug12729,Mortgage,jb5392,Una.Gallagher@openptk.com,Gallagher,Una,303-595-2052,loc33
fg23634,Customer Relations,gm84036,Fiona.Galvin@openptk.com,Galvin,Fiona,303-564-5145,loc34
rg64680,Mortgage,jb5392,Rachel.Ganly@openptk.com,Ganly,Rachel,303-816-3181,loc35
cg31835,Investment Banking,sh9168,Conor.Geary@openptk.com,Geary,Conor,303-688-4361,loc36
sg60935,Corporate Workplace,nc6214,Sharon.Geraghty@openptk.com,Geraghty,Sharon,303-261-0224,loc37
ng84098,Information Systems,rb5068,Nicola.Gilchrist@openptk.com,Gilchrist,Nicola,303-365-3750,loc38
lg83716,Customer Service,dl9637,Laura.Gilligan@openptk.com,Gilligan,Laura,303-778-2671,loc39
mg7259,Marketing,jm7605,Mary.Gleeson@openptk.com,Gleeson,Mary,303-854-8062,loc30
pg10698,Corporate Workplace,gm51383,Paula.Glynn@openptk.com,Glynn,Paula,303-949-4460,loc31
kg11948,Procurement,lm31932,Katharina.Goerlach@openptk.com,Goerlach,Katharina,303-762-0479,loc35
mg84871,Mortgage,jb5392,Maria.Greaney@openptk.com,Greaney,Maria,303-164-8912,loc33
cg14655,Services,aa4427,Christopher.Green@openptk.com,Green,Christopher,303-144-6845,loc34
kg50219,IT Compliance,rh6300,Kellie.Greene@openptk.com,Greene,Kellie,303-125-8460,loc33
fg83882,Information Systems,rb5068,Finbarr.Griffin@openptk.com,Griffin,Finbarr,303-541-8422,loc32
ag80472,Customer Relations,lj39201,Adrian.Groarke@openptk.com,Groarke,Adrian,303-354-8736,loc34
sg5045,Corporate Workplace,kc13254,Sarah.Grogan@openptk.com,Grogan,Sarah,303-902-7246,loc35
kg7585,Legal,je61475,Katarzyna.Gruszka@openptk.com,Gruszka,Katarzyna,303-766-5986,loc37
jg13197,Marketing,jm7605,Jan.Gyurik@openptk.com,Gyurik,Jan,303-450-1404,loc30
jh7164,Sales,aw89027,Jennifer.Hallinan@openptk.com,Hallinan,Jennifer,303-967-5124,loc36
ah7875,Marketing,jm7605,Amy.Hand@openptk.com,Hand,Amy,303-857-5371,loc37
lh85356,Investment Banking,sh9168,Lisa.Hand@openptk.com,Hand,Lisa,303-746-2418,loc38
mh20083,Sales,aw89027,Margaret.Hand@openptk.com,Hand,Margaret,303-975-3507,loc39
dh88687,IT Compliance,rh6300,Donal.Hanlon@openptk.com,Hanlon,Donal,303-342-2845,loc30
sh9168,Investment Banking,bb84946,Sandra.Hannigan@openptk.com,Hannigan,Sandra,303-431-8875,loc32
nh36713,Customer Relations,lj39201,Norah.Hanratty@openptk.com,Hanratty,Norah,303-504-6415,loc39
rh6300,IT Compliance,cb5981,Richard.Harker@openptk.com,Harker,Richard,303-136-3344,loc38
dh10222,Information Systems,rb5068,Donald.Harrington@openptk.com,Harrington,Donald,303-128-0721,loc37
ah1400,Services,cg14655,Aidan.Hayes@openptk.com,Hayes,Aidan,303-263-9121,loc36
mh80812,Corporate Workplace,gm51383,Miriam.Hayes@openptk.com,Hayes,Miriam,303-296-4451,loc32
ch50194,Customer Relations,gm84036,Claire.Heaslip@openptk.com,Heaslip,Claire,303-735-3698,loc33
jh85779,Customer Service,dl9637,Joseph.Heeley@openptk.com,Heeley,Joseph,303-535-5409,loc34
ph15110,Customer Relations,gm84036,Peter.Hegarty@openptk.com,Hegarty,Peter,303-165-1273,loc35
lh69431,Procurement,lm31932,Linda.Hickey@openptk.com,Hickey,Linda,303-739-5692,loc36
th9453,Benefits,dm11050,Thomas.Higgins@openptk.com,Higgins,Thomas,303-512-7991,loc37
dh88111,Information Systems,rb5068,Diane.Hodgson@openptk.com,Hodgson,Diane,303-480-2074,loc37
jh651,Services,cg14655,Joerg.Hoermann@openptk.com,Hoermann,Joerg,303-817-8490,loc30
rh37075,Legal,je61475,Ruth.Hogan@openptk.com,Hogan,Ruth,303-314-0453,loc39
th6499,Credit,fm50746,Tamas.Horvath@openptk.com,Horvath,Tamas,303-103-4300,loc31
mh60891,Legal,je61475,Michelle.Howe@openptk.com,Howe,Michelle,303-558-8674,loc33
sh88685,Information Systems,rb5068,Simon.Howley@openptk.com,Howley,Simon,303-165-3335,loc33
lh9189,Services,aa4427,Leo.Hughes@openptk.com,Hughes,Leo,303-226-5654,loc37
rh67437,Services,lh9189,Raja.Hussain@openptk.com,Hussain,Raja,303-208-0840,loc38
gh10287,Customer Relations,lj39201,Gavin.Husselbury@openptk.com,Husselbury,Gavin,303-881-7285,loc39
sh10875,Mortgage,jb5392,Sarah.Hynes@openptk.com,Hynes,Sarah,303-964-6810,loc34
gj11966,Services,lh9189,Garth.Jackson@openptk.com,Jackson,Garth,303-602-6709,loc30
rj67536,Corporate Workplace,dc30939,Robert.Jackson@openptk.com,Jackson,Robert,303-825-4627,loc31
vj23090,Legal,je61475,Valerie.Jameson@openptk.com,Jameson,Valerie,303-925-0072,loc32
mj6390,Credit,fm50746,Mirek.Januszko@openptk.com,Januszko,Mirek,303-109-7779,loc33
lj39201,Customer Relations,gm84036,Lynn.Johns@openptk.com,Johns,Lynn,303-901-8068,loc35
sj4599,Procurement,lm31932,Sharon.Jones@openptk.com,Jones,Sharon,303-609-2042,loc34
aj2171,Sales,aw89027,Anne.Joyce@openptk.com,Joyce,Anne,303-927-8494,loc35
kj4794,Corporate Workplace,em66961,Keith.Joyce@openptk.com,Joyce,Keith,303-677-5782,loc36
bk13212,Credit,fm50746,Birgit.Kaiser@openptk.com,Kaiser,Birgit,303-249-3969,loc34
ak69367,Marketing,jm7605,Alan.Kane@openptk.com,Kane,Alan,303-670-4759,loc36
mk39210,Legal,je61475,Mary.Kane@openptk.com,Kane,Mary,303-748-3756,loc36
sk15653,Information Systems,rb5068,Stephen.Kane@openptk.com,Kane,Stephen,303-705-7298,loc37
ak82086,Procurement,lm31932,Andrea.Kavanagh@openptk.com,Kavanagh,Andrea,303-572-5918,loc38
tk65839,Corporate Workplace,kc13254,Thomas.Kavanagh@openptk.com,Kavanagh,Thomas,303-155-6044,loc39
ck23889,Customer Relations,gm84036,Colm.Keane@openptk.com,Keane,Colm,303-618-8267,loc32
ck59238,Benefits,dm11050,Claire.Kearney@openptk.com,Kearney,Claire,303-988-3412,loc31
dk85468,Information Systems,rb5068,David.Kearney@openptk.com,Kearney,David,303-546-8227,loc32
lk7177,Sales,aw89027,Laura.Kearney@openptk.com,Kearney,Laura,303-321-7640,loc33
mk11920,Services,lh9189,Mary.Kearney@openptk.com,Kearney,Mary,303-608-3661,loc34
kk80198,Information Systems,rb5068,Kevin.Keating@openptk.com,Keating,Kevin,303-382-0504,loc35
jk50709,Marketing,jm7605,Jennifer.Keegan@openptk.com,Keegan,Jennifer,303-219-4279,loc36
tk8128,Investment Banking,sh9168,Thomas.Keir@openptk.com,Keir,Thomas,303-918-8036,loc37
kk69329,Customer Service,dl9637,Karon.Kells@openptk.com,Kells,Karon,303-153-4820,loc38
ak9741,Sales,aw89027,Aisling.Kelly@openptk.com,Kelly,Aisling,303-982-6552,loc39
ck85826,Procurement,lm31932,Caroline.Kelly@openptk.com,Kelly,Caroline,303-729-1610,loc31
fk69498,Marketing,jm7605,Fergal.Kelly@openptk.com,Kelly,Fergal,303-193-1993,loc32
jk68865,Services,lh9189,Juan.Kelly@openptk.com,Kelly,Juan,303-588-9159,loc30
mk4144,Marketing,jm7605,Marian.Kelly@openptk.com,Kelly,Marian,303-318-9183,loc33
sk39794,Benefits,dm11050,Suzanne.Kelly@openptk.com,Kelly,Suzanne,303-892-5578,loc34
ck15868,Sales,aw89027,Christina.Kennedy@openptk.com,Kennedy,Christina,303-885-8604,loc35
ck7940,Customer Relations,gm84036,Carla.Kenny@openptk.com,Kenny,Carla,303-504-0195,loc36
yk6180,Customer Relations,gm84036,Yvonne.Kenny@openptk.com,Kenny,Yvonne,303-310-5069,loc37
gk98,Credit,fm50746,Greg.Kenward@openptk.com,Kenward,Greg,303-485-9627,loc38
ak6798,IT Compliance,rh6300,Aoife.Keogh@openptk.com,Keogh,Aoife,303-346-9173,loc39
mk1457,Investment Banking,sh9168,Marie-Claire.Kerrin@openptk.com,Kerrin,Marie-Claire,303-321-5345,loc30
ak17703,Benefits,dm11050,Angela.Kinahan@openptk.com,Kinahan,Angela,303-505-3685,loc32
ak84707,Investment Banking,sh9168,Anne.Marie.King@openptk.com,King,Anne Marie,303-961-4196,loc33
lk50206,IT Compliance,rh6300,Lynda.Kinsella@openptk.com,Kinsella,Lynda,303-200-5010,loc34
ck59364,IT Compliance,rh6300,Claire.Kirwan@openptk.com,Kirwan,Claire,303-569-0980,loc37
gk6356,Marketing,jm7605,Grainne.Kirwan@openptk.com,Kirwan,Grainne,303-309-3008,loc36
rk5433,Procurement,lm31932,Rikke.Kok@openptk.com,Kok,Rikke,303-283-7271,loc37
yk68651,Procurement,lm31932,Yvonne.Kong@openptk.com,Kong,Yvonne,303-707-3001,loc38
cl28636,Benefits,dm11050,Caroline.Ladrigan@openptk.com,Ladrigan,Caroline,303-530-8810,loc39
rl85943,Services,lh9189,Robert.Lall@openptk.com,Lall,Robert,303-779-5294,loc30
al50712,Information Systems,rb5068,Adrienne.Lalor@openptk.com,Lalor,Adrienne,303-294-0605,loc31
dl8626,Benefits,dm11050,Deirdre.Lambe@openptk.com,Lambe,Deirdre,303-449-9175,loc31
al9577,IT Compliance,rh6300,Ann-Marie.Lane@openptk.com,Lane,Ann-Marie,303-109-9577,loc32
ml9572,Customer Relations,lj39201,Michael.Lanning@openptk.com,Lanning,Michael,303-849-1605,loc33
sl9861,Customer Relations,gm84036,Sinead.Larkin@openptk.com,Larkin,Sinead,303-372-6305,loc34
